year,model,city08,highway08,comb08,trim
2023,Corolla Cross 4WD,29,32,30,Cross 4WD
2023,Crown AWD,29,32,30,AWD
2023,Crown AWD,42,41,41,AWD
2023,Prius,57,56,57,
2023,Prius AWD,53,54,54,AWD
2023,Prius AWD XLE/LTD,49,50,49,AWD XLE/LTD
2023,Prius XLE/LTD,52,52,52,XLE/LTD
2024,GR Supra,25,31,27,Supra
2024,Grand Highlander Hybrid,37,34,36,Highlander Hybrid
2024,Grand Highlander Hybrid Limited,36,32,34,Highlander Hybrid Limited
2024,Grand Highlander LE/XLE,21,28,24,Highlander LE/XLE
2024,Grand Highlander Limited,21,28,24,Highlander Limited
2024,Grand Highlander Hybrid AWD,36,32,34,Highlander Hybrid AWD
2024,Grand Highlander Hybrid AWD,26,27,27,Highlander Hybrid AWD
2024,Grand Highlander AWD LE/XLE,21,27,23,Highlander AWD LE/XLE
2024,Grand Highlander AWD Limited/Platinum,20,26,22,Highlander AWD Limited/Platinum
2024,GR Supra,23,31,26,Supra
2024,GR Supra,19,27,21,Supra
2024,Camry,22,33,26,
2024,Camry TRD,22,31,25,TRD
2024,Camry XSE,22,32,26,XSE
2024,Camry AWD LE/SE,25,34,29,AWD LE/SE
2024,Camry AWD XLE/XSE,25,34,28,AWD XLE/XSE
2024,Camry LE/SE,28,39,32,LE/SE
2024,Camry XLE/XSE,27,38,31,XLE/XSE
2024,Camry Hybrid LE,51,53,52,Hybrid LE
2024,Camry Hybrid SE/XLE/XSE,44,47,46,Hybrid SE/XLE/XSE
2024,Tundra 2WD,18,23,20,2WD
2024,Tundra 2WD,18,23,20,2WD
2024,Tundra 2WD,20,24,22,2WD
2024,Tundra 4WD,17,23,19,4WD
2024,Tundra 4WD,17,22,19,4WD
2024,Tundra 4WD,19,22,20,4WD
2024,Tundra 4WD PRO,18,20,19,4WD PRO
2024,Sequoia 2WD,21,24,22,2WD
2024,Sequoia 4WD,19,22,20,4WD
2023,Prius Prime,50,47,48,Prime
2023,Prius Prime SE,53,51,52,Prime SE
2023,RAV4 Prime 4WD,40,36,38,Prime 4WD
2024,GR Corolla,21,28,24,Corolla
2024,Prius,57,56,57,
2024,Prius AWD,53,54,54,AWD
2024,Prius AWD XLE/LTD,49,50,49,AWD XLE/LTD
2024,Prius XLE/LTD,52,52,52,XLE/LTD
2024,Sienna 2WD,36,36,36,2WD
2024,Sienna AWD,35,36,35,AWD
2023,Mirai LE,76,71,74,LE
2023,Mirai Limited,67,64,65,Limited
2023,Mirai XLE,76,71,74,XLE
2024,Corolla Hybrid,53,46,50,Hybrid
2024,Corolla Hybrid,50,43,47,Hybrid
2024,Corolla Hybrid AWD,51,44,48,Hybrid AWD
2024,Corolla Hybrid AWD,47,41,44,Hybrid AWD
2024,Corolla,32,41,35,
2024,Corolla,31,40,34,
2024,Corolla Hatchback,32,41,35,Hatchback
2024,Corolla Hatchback XSE,30,38,33,Hatchback XSE
2024,Crown AWD,42,41,41,AWD
2024,Crown AWD,29,32,30,AWD
2024,RAV4,27,35,30,
2024,RAV4 AWD,27,33,29,AWD
2024,RAV4 AWD,25,33,28,AWD
2024,RAV4 AWD TRD OFFROAD,25,32,28,AWD TRD OFFROAD
2024,RAV4 AWD LE,27,34,30,AWD LE
2024,RAV4 Hybrid AWD Woodland Edition,38,35,37,Hybrid AWD Woodland Edition
2024,RAV4 Hybrid AWD,41,38,39,Hybrid AWD
2024,Venza AWD,40,37,39,AWD
2024,4Runner 2WD,16,19,17,2WD
2024,4Runner 4WD,16,19,17,4WD
2024,4Runner 4WD,16,19,17,4WD
2024,Prius Prime,50,47,48,Prime
2024,Prius Prime SE,53,51,52,Prime SE
2024,RAV4 Prime 4WD,40,36,38,Prime 4WD
2023,Camry LE/SE,28,39,32,LE/SE
2023,Corolla Cross Hybrid AWD,45,38,42,Cross Hybrid AWD
2021,Mirai Limited,67,64,65,Limited
2021,Mirai XLE,76,71,74,XLE
2022,Mirai LE,76,71,74,LE
2022,Mirai Limited,67,64,65,Limited
2022,Mirai XLE,76,71,74,XLE
2024,GR 86,20,26,22,86
